,Dateiname,Textnummer,Zeichenanzahl,Titel,Bibliographischer Nachweis,Sprache,Erscheinungsort,Jahr,Postume Nachdrucke,Entsprechungen in Buchwerken,lat,lng
2556,1851-Colonel_Fremont-31-neu,VII.14,1171.0,Baron Humboldt and Colonel Fremont,"in: The Examiner 2533 (16. August 1856), S. 522.",Englisch,London,1856,,,51.50853,-0.12574
2557,1851-Colonel_Fremont-32-neu,VII.14,1163.0,Humboldt and Colonel Fremont,"in: The Leeds Times 22:1222 (16. August 1856), [o. S].",Englisch,Leeds,1856,,,53.79648,-1.54785
2558,1851-Colonel_Fremont-33-neu,VII.14,4000.0,Humboldt und Fremont,"in: Magazin für die Literatur des Auslandes 50:99 (16. August 1856), S. 396.",Deutsch,Berlin,1856,,,52.52437,13.41053
2559,1851-Colonel_Fremont-34-neu,VII.14,1627.0,[Colonel Fremont],"in: Maidstone & Kentish Journal, Rochester and Chatham Journal and South Eastern Advertiser 3672 (19. August 1856), S. 2.",Englisch,Maidstone,1856,,,51.26667,0.51667
2560,1851-Colonel_Fremont-35-neu,VII.14,1128.0,Colonel Fremont,"in: Scottish Guardian 25:2587 (19. August 1856), S. 4.",Englisch,Glasgow,1856,,,55.86515,-4.25763
2561,1851-Colonel_Fremont-36-neu,VII.14,1177.0,Baron Humboldt and Colonel Fremont,"in: The North Devon Journal 32:1674 (21. August 1856), S. 6.",Englisch,Barnstaple,1856,,,51.08022,-4.05808
2562,1851-Colonel_Fremont-37-neu,VII.14,863.0,[Colonel Fremont],"in: The Carlisle Journal 2999 (22. August 1856), S. 7.",Englisch,Carlisle,1856,,,54.8951,-2.9382
2563,1851-Colonel_Fremont-38-neu,VII.14,4502.0,Humboldt and Fremont,"in: Marysville Daily Herald 7:15 (22. August 1856), [o. S.].",Englisch,"Marysville, California",1856,,,39.14573,-121.59135
2564,1851-Colonel_Fremont-39-neu,VII.14,1131.0,Colonel Fremont,"in: Newry Commercial Telegraph 47:9912 (23. August 1856), [o. S.].",Englisch,Newry,1856,,,54.17841,-6.33739
2565,1851-Colonel_Fremont-40-neu,VII.14,3146.0,Humbold y Fremont,"in: El Clamor Publico 2:12 (6. September 1856), [o. S.].",Spanisch,Madrid,1856,,,40.4165,-3.70256
2566,1851-Colonel_Fremont-41-neu,VII.14,5247.0,Col. Fremont and Baron Humboldt,"in: The Caledonian 20:10:998 (13. September 1856), [o. S.].",Englisch,"St. Johnsbury, Vermont",1856,,,44.41922,-72.01509
2567,1851-Colonel_Fremont-42-neu,VII.14,4959.0,[Colonel Fremont],"in: John Bigelow, Memoir of the Life and Public Services of John Charles Fremont, New York: Derby & Jackson 1856, S. 327–329.","Englisch, Französisch","New York City, New York",1856,,,40.71427,-74.00597
2568,1851-Colonel_Fremont-43-neu,VII.14,2064.0,Letter from Baron Humboldt,"in: Robert Hardy Donklin, Facts and Figures for Fremont and Freedom, Providence RI: [o. V.] 1856, S. 10.",Englisch,"Providence, Rhode Island",1856,,,41.82399,-71.41283
2569,1851-Colonel_Fremont-44-neu,VII.14,1918.0,Letter from Baron Humboldt,"in: [Anonym], The Republican Scrap Book, Boston: John P. Jewett & Co. 1856, S. 19–20.",Englisch,"Boston, Massachusetts",1856,,,42.35843,-71.05977
2570,1851-Colours_of_the-1-neu,VII.15,410.0,Colours of the Stars,"in: The Globe and Traveller 15467 (18. April 1851), [o. S.].",Englisch,London,1851,,"Alexander von Humboldt, Cosmos: Sketch of a Physical Description of the Universe., Translated by Edward Sabine. Vol. 3, London 1851, S. 111–112.Alexander von Humboldt, Kosmos. Entwurf einer physischen Weltbeschreibung, Band 3, Stuttgart und Tübingen: J. G. Cotta 1850, S. 169.",51.50853,-0.12574
2571,1851-Colours_of_the-2-neu,VII.15,416.0,Colours of the Stars,"in: The Freeman’s Journal, and Daily Commercial Advertiser 84 (21. April 1851), [o. S.].",Englisch,Dublin,1851,,,53.33306,-6.24889
2572,1851-Colours_of_the-3-neu,VII.15,411.0,Colors of the Stars,"in: The Newry Commercial Telegraph 42:8270 (24. April 1851), [o. S.].",Englisch,Newry,1851,,,54.17841,-6.33739
2573,1851-Les_chiens_en-1-neu,VII.16,9053.0,Les chiens en Amérique,"in: Journal d’agriculture pratique et de jardinage 2 (Januar–Juni 1851), S. 369–371.",Französisch,Paris,1851,,"Alexander von Humboldt, Ansichten der Natur, Dritte verbesserte und vermehrte Ausgabe, Stuttgart und Tübingen: Cotta 1849, Bd. 1, S. 134–140, Anmerkung 15.Alexander von Humboldt, Tableaux de la nature, édition nouvelle avec changements et additions importantes et accompagnée de cartes, übersetzt von Ch. Galusky, 1. Bd., Paris: Gide et J. Baudry 1851, S. 128–133.",48.85341,2.3488
2574,1851-M_de_Humboldt-1,VII.17,2548.0,M. de Humboldt et M. Bonpland. – Lettre adressée par le premier aux professeurs-administrateurs du muséum d’histoire naturelle Ü,"in: Bulletin de la société de géographie 2:8–9 (August–September 1851), S. 232–234.",Französisch,Paris,1851,,,48.85341,2.3488
2575,1851-M_de_Humboldt-2-neu,VII.17,2516.0,Copie d’une lettre adressée à MM. les professeurs administrateurs du muséum d’histoire naturelle,"in: Le moniteur universel 280 (7. Oktober 1851), S. 2626.",Französisch,Paris,1851,,,48.85341,2.3488
2576,1851-M_de_Humboldt-3-neu,VII.17,2545.0,[M. de Humboldt et M. Bonpland. – Lettre adressée par le premier aux professeurs-administrateurs du muséum d’histoire naturelle],"in: Journal général de l’instruction publique et des cultes 20:87 (25. Oktober 1851), S. 499.",Französisch,Paris,1851,,,48.85341,2.3488
2577,1851-Mists_in_Peru-1-neu,VII.18,1081.0,Mists in Peru,"in: Morning Advertiser 18651 (5. April 1851), S. 6.",Englisch,London,1851,,"Alexander von Humboldt, Cosmos: Sketch of a Physical Description of the Universe. Translated by Edward Sabine. Vol. 3, London 1851, S. 86–87.Alexander von Humboldt, Kosmos. Entwurf einer physischen Weltbeschreibung, Band 3, Stuttgart und Tübingen: J. G. Cotta 1850, S. 143–144.",51.50853,-0.12574
2578,1851-New_Stars-1-neu,VII.19,914.0,New Stars,"in: The Globe and Traveller 15468 (19. April 1851), [o. S.].",Englisch,London,1851,,"Alexander von Humboldt, Cosmos: Sketch of a Physical Description of the Universe. Translated by Edward Sabine. Vol. 3, London 1851, S. 132.Alexander von Humboldt, Kosmos. Entwurf einer physischen Weltbeschreibung, Band 3, Stuttgart und Tübingen: J. G. Cotta 1850, S. 215",51.50853,-0.12574
2579,1851-New_Stars-2-neu,VII.19,894.0,New Stars,"in: The Sheffield & Rotherham Independent 32:1652 (7. Juni 1851), S. 5.",Englisch,Sheffield,1851,,,53.38297,-1.4659
2580,1851-Origine_de_la-1-neu,VII.20,8730.0,Origine de la culture des céréales,"in: Journal d’agriculture pratique et de jardinage 2:6 (20. März 1851), S. 258–259.",Französisch,Paris,1851,,"Alexander von Humboldt, Tableaux de la nature, édition nouvelle avec changements et additions importantes et accompagnée de cartes, übersetzt von Ch. Galusky, 1. Bd., Paris: Gide et J. Baudry 1851, S. 199–204.Alexander von Humboldt, Ansichten der Natur, Dritte verbesserte und vermehrte Ausgabe, 2 Bände, Stuttgart und Tübingen: Cotta 1849, Band 1, S. 206–211, Anmerkung 27.Alexander von Humboldt, Ansichten der Natur, Zweite verbesserte und vermehrte Ausgabe, 2 Bände, Stuttgart und Tübingen: Cotta 1826, Band 1, S. 145–147, Anmerkung 25.",48.85341,2.3488
2581,1851-Origine_de_la-2-neu,VII.20,4875.0,Anfang der Kultur der Cerealien,"in: Allgemeine Land- und Forstwirthschaftliche Zeitung 12 (20. März 1852), S. 93.",Deutsch,Wien,1852,,,48.20849,16.37208
2582,1851-Origine_de_la-3-neu,VII.20,3589.0,Anfang der Kultur der Cerealien,"in: Jurende’s Vaterländischer Pilger 40 (1853), S. 117.",Deutsch,Wien,1853,,,48.20849,16.37208
2583,1851-Panorama_des_Mississippi-01-neu,VII.21,1563.0,Panorama des Mississippi-Flusses,"in: Berlinische Nachrichten von Staats- und gelehrten Sachen 72 (26. März 1851), [o. S.].",Deutsch,Berlin,1851,,,52.52437,13.41053
2584,1851-Panorama_des_Mississippi-02-neu,VII.21,1563.0,Panorama des Mississippi-Flusses,"in: Berlinische Nachrichten von Staats- und gelehrten Sachen 73 (27. März 1851), [o. S.].",Deutsch,Berlin,1851,,,52.52437,13.41053
2585,1851-Panorama_des_Mississippi-03-neu,VII.21,1562.0,Panorama des Mississippi-Flusses,"in: Berlinische Nachrichten von Staats- und gelehrten Sachen 76 (30. März 1851), [o. S.].",Deutsch,Berlin,1851,,,52.52437,13.41053
2586,1851-Panorama_des_Mississippi-04-neu,VII.21,1022.0,[Urteil über das bewegliche Panorama des Mississippi-Stromes],"in: Humorist 15:185 (8. Juli 1851), S. 740.",Deutsch,Wien,1851,,,48.20849,16.37208
2587,1851-Panorama_des_Mississippi-05-neu,VII.21,1034.0,Attest,"in: Fremden-Blatt 5:183 (3. August 1851), [o. S.].",Deutsch,Wien,1851,,,48.20849,16.37208
2588,1851-Panorama_des_Mississippi-06-neu,VII.21,1034.0,Attest,"in: Fremden-Blatt 5:184 (5. August 1851), [o. S.].",Deutsch,Wien,1851,,,48.20849,16.37208
2589,1851-Panorama_des_Mississippi-07-neu,VII.21,1034.0,Attest,"in: Fremden-Blatt 5:185 (6. August 1851), [o. S.].",Deutsch,Wien,1851,,,48.20849,16.37208
2590,1851-Panorama_des_Mississippi-08-neu,VII.21,1034.0,Attest,"in: Fremden-Blatt 5:187 (8. August 1851), [o. S.].",Deutsch,Wien,1851,,,48.20849,16.37208
2591,1851-Panorama_des_Mississippi-09-neu,VII.21,1034.0,Attest,"in: Fremden-Blatt 5:188 (9. August 1851), [o. S.].",Deutsch,Wien,1851,,,48.20849,16.37208
2592,1851-Panorama_des_Mississippi-10-neu,VII.21,1034.0,Attest,"in: Fremden-Blatt 5:189 (10. August 1851), [o. S.].",Deutsch,Wien,1851,,,48.20849,16.37208
2593,1851-Panorama_des_Mississippi-11-neu,VII.21,1034.0,Attest,"in: Fremden-Blatt 5:190 (12. August 1851), [o. S.].",Deutsch,Wien,1851,,,48.20849,16.37208
2594,1851-Panorama_des_Mississippi-12-neu,VII.21,1034.0,Attest,"in: Fremden-Blatt 5:191 (13. August 1851), [o. S.].",Deutsch,Wien,1851,,,48.20849,16.37208
2595,1851-Panorama_des_Mississippi-13-neu,VII.21,1035.0,Attest,"in: Fremden-Blatt 5:192 (14. August 1851), [o. S.].",Deutsch,Wien,1851,,,48.20849,16.37208
2596,1851-Panorama_des_Mississippi-14-neu,VII.21,1035.0,Attest,"in: Fremden-Blatt 5:193 (15. August 1851), [o. S.].",Deutsch,Wien,1851,,,48.20849,16.37208
2597,1851-Panorama_des_Mississippi-15-neu,VII.21,1035.0,Attest,"in: Fremden-Blatt 5:194 (16. August 1851), [o. S.].",Deutsch,Wien,1851,,,48.20849,16.37208
2598,1851-Panorama_des_Mississippi-16-neu,VII.21,1225.0,Det bevægelige Mississippi-Panorama paa Vesterbroes Theater,"in: Flyve Posten 8:172 (24. April 1852), [o. S.].",Dänisch,Kopenhagen,1852,,,55.67594,12.56553
2599,1851-Pismo_Aleksandra_Gumboldta-1-neu,,4514.0,Письмо Александра Гумбольдта к А. П. Болотову [Pisʹmo Aleksandra Gumbolʹdta k A. P. Bolotovu],"in: Otečestvennyja zapiski 76:6:8 (1851), S. 145–146.",Russisch,Moskau,1851,,,55.75222,37.61556
2600,1851-Spezielle_Ergebnisse_der-1-neu,VII.22,38099.0,Spezielle Ergebnisse der Beobachtung in dem Gebiete kosmischer Erscheinungen,"in: Morgenblatt der Wiener Zeitung 8 (29. Januar 1851), Beilage, [o. S.]; 9 (1. Februar 1851), Beilage, [o. S.].",Deutsch,Wien,1851,,"Alexander von Humboldt, Kosmos. Entwurf einer physischen Weltbeschreibung, Band 3, Stuttgart und Tübingen: J. G. Cotta 1850, S. 3–25.",48.20849,16.37208
2601,1851-Spezielle_Ergebnisse_der-2-neu,VII.22,38022.0,Historische Uebersicht der Versuche die Welterscheinungen als ein Naturganzes zu betrachten,"in: Allgemeine Zeitung 35 (4. Februar 1851), Beilage, S. [553]–556.",Deutsch,Augsburg,1851,,,48.37154,10.89851
2602,1851-Sur_le_Gulf-1-neu,VII.23,10751.0,Sur le Gulf Stream,"in: Nouvelles annales des voyages et des sciences géographiques 4 (Oktober–November 1851), S. 220–227.",Französisch,Paris,1851,,"Alexander von Humboldt, Ueber Meeresströmungen im allgemeinen; und über die kalte peruanische Strömung der Südsee, im Gegensatze zu dem warmen Golf- oder Florida-Strome, in: Kleinere Schriften. Geognostische und physikalische Erinnerungen, Stuttgart und Tübingen: Cotta 1853, Band 2, S. 31–145 [unpublizierte Druckvorstufe, von Humboldt handschriftlich überarbeitet, Deutsches Literaturarchiv in Marbach a. N.: Cotta-Archiv, 1833-ca. 1855].",48.85341,2.3488
2603,1851-Translated_copy_of-1-neu,VII.24,1995.0,"Translated copy of a Letter from Baron Alexander Humboldt to S. G. Morton, M. D. Ü","in: Charles D. Meigs, A Memoir of Samuel George Morton, M. D., Late President of the Academy of Natural Sciences of Philadelphia, Philadelphia: T. K. and P. G. Collins 1851, S. 48.",Englisch,"Philadelphia, Pennsylvania",1851,"Ingo Schwarz (Hrsg.), Alexander von Humboldt und die Vereinigten Staaten von Amerika. Briefwechsel, Berlin: Akademie 2004, S. 233–234.",,39.95233,-75.16379
2604,1851-Translated_copy_of-2-neu,VII.24,1994.0,"Translated copy of a Letter from Baron Alexander Humboldt to S. G. Morton, M. D.","in: „Extracts from a Memoir of Samuel George Morton, M. D., late President of the Academy of Natural Sciences of Philadelphia; by Charles D. Meigs, M. D.“, in: The American Journal of Science and Arts 13:38 (März 1852), S. [153]–178, hier S. 178.",Englisch,"New Haven, Connecticut",1852,,,41.30815,-72.92816
2605,1851-Velocity_of_Light-1-neu,VII.25,11571.0,Velocity of Light,"in: The Edinburgh New Philosophical Journal 50:100 (April 1851), S. 256–260.",Englisch,Edinburgh,1851,,"Alexander von Humboldt, Cosmos: Sketch of a Physical Description of the Universe, Translated by Edward Sabine. Vol. 3, London 1851, S. 71–78.Alexander von Humboldt, Kosmos. Entwurf einer physischen Weltbeschreibung, Band 3, Stuttgart und Tübingen: J. G. Cotta 1850, S. 90–97.",55.95206,-3.19648
2606,1851-Velocity_of_Light-2-neu,VII.25,8535.0,Velocity of light,"in: Annual of scientific discovery, or, year-book of facts in science and art (1852), S. 138–141.",Englisch,"Boston, Massachusetts",1852,,,42.35843,-71.05977
2607,1851-xxx_Brief_an_Ritter-1-neu,VII.26,2953.0,[Brief an Carl Ritter],"in: Carl Ritter, „Neueste Nachrichten über Aimé Bonpland“, in: Monatsberichte über die Verhandlungen der Gesellschaft für Erdkunde zu Berlin 8 (1851), S. 210–212, hier S. 211.",Deutsch,Berlin,1851,"Brief an Carl Ritter, Berlin, 13.2.1851, in: Alexander von Humboldt, Carl Ritter, Briefwechsel, herausgegeben von Ulrich Päßler, Berlin: Akademie 2010, S. 118–119.",,52.52437,13.41053
2608,1852-A_v_Humboldt_bei_Lichtensteins-1-neu,VII.27,5978.0,A. v. Humboldt bei Lichtensteins Jubelfeier,"in: Allgemeine Zeitung 127 (6. Mai 1852), Beilage, S. [2025].",Deutsch,Augsburg,1852,,"Rede bei der Aufstellung der Büste des geh. Medicinalrathes Professor Dr. Lichtenstein in dem zoologischen Museum am 26. April 1852 gehalten von Alexander von Humboldt, Separatum, Berlin: Buchdruckerei der königl. Akademie der Wissenschaften 1852, 6 Seiten.",48.37154,10.89851
2609,1852-A_v_Humboldt_bei_Lichtensteins-2-neu,VII.27,5714.0,[A. v. Humboldt bei Lichtensteins Jubelfeier],"in: Akademische Monatsschrift 4 (August–September 1852), S. 453–454.",Deutsch,Leipzig,1852,,,51.33962,12.37129
2610,1852-Die_Pflanzstaedte_der-1-neu,VII.28,4376.0,Die Pflanzstädte der Hellenen,"in: Hermann Kletke (Hrsg.), Das Alterthum in seinen Hauptmomenten dargestellt. Eine Reihe historischer Aufsätze, Breslau: Trewendt & Garnier 1852, S. 37–38.",Deutsch,Breslau,1852,,"Alexander von Humboldt, Kosmos. Entwurf einer physischen Weltbeschreibung, Band 2, Stuttgart und Tübingen: J. G. Cotta 1847, S. 177–179.",51.1,17.03333
2611,1852-Eduard_Hildebrandt-1,VII.29,6212.0,Eduard Hildebrandt,"in: Berlinische Nachrichten von Staats- und gelehrten Sachen 123 (28. Mai 1852), S. 4.",Deutsch,Berlin,1852,,,52.52437,13.41053
2612,1852-Eduard_Hildebrandt-2,VII.29,6288.0,Eduard Hildebrandt,"in: Deutsches Kunstblatt 3:26 (26. Juni 1852), S. 224–225.",Deutsch,Berlin,1852,,,52.52437,13.41053
2613,1852-Eine_Beurtheilung_von-1-neu,VII.30,2246.0,Eine Beurtheilung von Alexander von Humboldt über die ostindische Ausstellung im Sperl in der Leopoldstadt,"in: Die Presse 5:85 (11. April 1852), [o. S.].",Deutsch,Wien,1852,,,48.20849,16.37208
2614,1852-Eine_Beurtheilung_von-2-neu,VII.30,2324.0,[Eine Beurtheilung von Alexander von Humboldt über die ostindische Ausstellung im Sperl in der Leopoldstadt],"in: Oesterreichisch-Kaiserliche Wiener Zeitung 88 (11. April 1852), S. 1023.",Deutsch,Wien,1852,,,48.20849,16.37208
2615,1852-Klima_Veraenderungen_in-1,VII.31,16593.0,"Klima-Veränderungen in der Hochebene von Santiago de Chile; und das grosse Erdbeben vom 2. April 1851. Aus Briefen des Lieutenants Gilliss, von der Nordamerikanischen Flotte, an Professor Dr. Gerling in Marburg","in: Physikalischer Atlas. Geographisches Jahrbuch zur Mittheilung aller wichtigern neüen Erforschungen 4 (1852), S. 3–6.",Deutsch,Gotha,1852,,,50.94823,10.70193
2616,1852-Les_palmiers-1-neu,VII.32,21657.0,Les palmiers,"in: La Belgique Horticole, Journal des Jardins, des Serres et des Vergers 2 (1852), S. 13–20.",Französisch,Liège,1852,,"Alexander von Humboldt, Tableaux de la nature, übersetzt von Ch. Galusky, 2 Bände, Paris: Gide et J. Baudry 1851, Band 2, S. 144–159, Anmerkung 15.Alexander von Humboldt, Ansichten der Natur, Dritte verbesserte und vermehrte Ausgabe, 2 Bände, Stuttgart und Tübingen: Cotta 1849, Band 2, S. 152–166, Anmerkung 15.Alexander Humboldt, Ansichten der Natur, Zweite verbesserte und vermehrte Ausgabe, 2 Bände, Stuttgart und Tübingen: Cotta 1826, Band 2, S. 91–103, Anmerkung 15.Alexander Humboldt, Ansichten der Natur, Stuttgart und Tübingen: Cotta 1808, S. 243–256, Anmerkung 15.",50.63373,5.56749
2617,1852-Skizze_einer_Karte-1-neu,VII.33,9308.0,Skizze einer Karte des Theils von Asien zwischen der Ostküste des Caspischen Meeres und dem Alpensee Issikul am nördlichen Abhange des chinesischen Himmelsgebirges,"in: Physikalischer Atlas. Geographisches Jahrbuch zur Mittheilung aller wichtigern neüen Erforschungen 4 (1852), S. [1]–3, Tafel.",Deutsch,Gotha,1852,,,50.94823,10.70193
2618,1852-Sternschnuppen_Feuerkugeln_und-1-neu,VII.34,34347.0,"Sternschnuppen, Feuerkugeln und Meteorsteine","in: Morgenblatt für gebildete Leser 46:1 (4. Januar 1852), S. 10–16.",Deutsch,Stuttgart; Tübingen,1852,,"Alexander von Humboldt, Kosmos. Entwurf einer physischen Weltbeschreibung, Band 3, Stuttgart und Tübingen: J. G. Cotta 1850, S. 592–613.",48.78232,9.17702
2619,1852-Werth_der_Goldproduction-1-neu,VII.35,1399.0,Werth der Goldproduction von Californien im Jahre 1851,"in: Berlinische Nachrichten von Staats- und gelehrten Sachen 105 (5. Mai 1852), [o. S.].",Deutsch,Berlin,1852,,,52.52437,13.41053
2620,1852-xxx_Faksimile_eines_Briefs-1,VII.36,,[Faksimile eines Briefs Humboldts an Franz Cöllen vom 22.02.1850],"in: Franz A. Cöllen, Reise-Album vom 15ten bis zum 22sten Lebensjahre, 4. Auflage, Hamburg: [o. V.] 1852, [o. S.].",Deutsch,Hamburg,1852,,,53.55073,9.99302
2621,1852-xxx_Ja_dolzen_kazatsja-1-neu,,5683.0,"[Brief an Jakov Vladimirovič Chanykov; eingeleitet mit: Я долженъ казаться вамъ весьма неблагодарнымъ, что столько мѣсяцевъ медлилъ выразить [...]] [ Ja dolžen kazatʹsja vam vesʹma neblagodarnym, čto stolʹko měsjacev medlil vyrazitʹ [...]]","in: anonym, „Zasědanie 15-go dekabrja“, in: Věstnik Imperatorskago russkago geografičeskago obščestva 4:1:7 (1852), S. 17–18.",Russisch,Sankt Petersburg,1852,,,59.93863,30.31413
2622,1852-xxx_Lettre_a_Jean_Stecher-1-neu,VII.37,1165.0,[Lettre à Jean Stecher] Ü,"in: Journal historique et littéraire 19:1:218 (1. Juni 1852), S. 103.",Französisch,Liège,1852,,,50.63373,5.56749
2623,1852-xxx_Lettre_a_la_revue-1,VII.38,3203.0,[Lettre à la revue Cosmos] Ü,"in: Cosmos. Revue encyclopédique hebdomadaire des progrès des sciences 1 (13. Juni 1852), S. 145–146.",Französisch,Paris,1852,,,48.85341,2.3488
2624,1853-A_Cheaper_Light-1-neu,VII.39,1527.0,A Cheaper Light than Gas,"in: Huddersfield and Holmfirth Examiner 3:101 (6. August 1853), S. 6.",Englisch,Huddersfield,1853,,"Alexander von Humboldt, Personal Narrative of Travels to the Equinoctial Regions of America, Vol. III: During the Years 1799–1804, translated by T. Ross, Vol. 3, New York, 1851, S. 198.Alexander von Humboldt, Relation historique du Voyage aux Régions équinoxiales du Nouveau Continent, 3 Bände, Paris: F. Schoell 1814[–1817], N. Maze 1819[–1821], J. Smith et Gide Fils 1825[–1831], Band 3, S. 482–483.",53.64904,-1.78416
2625,1853-A_Cheaper_Light-2-neu,VII.39,1515.0,A Cheaper Light than Gas,"in: The Halifax Courier 1:31 (6. August 1853), S. 2.",Englisch,Halifax,1853,,,53.71667,-1.85
2626,1853-A_Cheaper_Light-3-neu,VII.39,1513.0,A Cheaper Light than Gas,"in: The Huddersfield Chronicle and West Yorkshire Advertiser 176 (13. August 1853), S. 3.",Englisch,Huddersfield,1853,,,53.64904,-1.78416
2627,1853-A_Cheaper_Light-4-neu,VII.39,1511.0,A Cheaper Light than Gas,"in: The Worcestershire Chronicle and Provincial Railway Gazette 16:816 (17. August 1853), S. 6.",Englisch,Worcester,1853,,,52.18935,-2.22001
2628,1853-A_Cheaper_Light-5-neu,VII.39,1477.0,A cheaper light than gas,"in: The Morning Advertiser 19393 (18. August 1853), S. 3.",Englisch,London,1853,,,51.50853,-0.12574
2629,1853-A_Cheaper_Light-6-neu,VII.39,1525.0,A cheaper light than gas,"in: The Hereford Times, And General Advertiser for the Couties of Hereford, Monmouth, Glamorgan, Cardigan, Carmarthen, Brecon, Radnor, Montgomery, Salop, Stafford, Worcester, and Gloucester 22:1104 (27. August 1853), S. 12.",Englisch,Hereford,1853,,,52.05684,-2.71482
2630,1853-A_Sensitive_Murderer-1-neu,VII.40,1213.0,A Sensitive Murderer,"in: The Huddersfield Chronicle and West Yorkshire Advertiser 176 (13. August 1853), S. 3.",Englisch,Huddersfield,1853,,"Alexander von Humboldt, Personal Narrative of Travels to the Equinoctial Regions of America, Vol. III: During the Years 1799–1804, translated by T. Ross, Vol. 3, New York, 1851, S. 94.Alexander von Humboldt, Relation historique du Voyage aux Régions équinoxiales du Nouveau Continent, 3 Bände, Paris: F. Schoell 1814[–1817], N. Maze 1819[–1821], J. Smith et Gide Fils 1825[–1831], Band 3, S. 28.",53.64904,-1.78416
2631,1853-A_Sensitive_Murderer-2-neu,VII.40,1210.0,A Sensitive Murderer,"in: The Staffordshire Advertiser 59 (17. September 1853), S. 3.",Englisch,Stafford,1853,,,52.80521,-2.11636
2632,1853-A_Sensitive_Murderer-3-neu,VII.40,1173.0,A sensitive murderer,"in: The Lady’s Newspaper 353 (1. Oktober 1853), S. 201.",Englisch,London,1853,,,51.50853,-0.12574
2633,1853-A_Sensitive_Murderer-4-neu,VII.40,1208.0,A Sensitive Murderer,"in: The Worcestershire Chronicle and Provincial Railway Gazette 16:824 (12. Oktober 1853), S. 6.",Englisch,Worcester,1853,,,52.18935,-2.22001
2634,1853-A_Sensitive_Murderer-5-neu,VII.40,1170.0,A Sensitive Murderer,"in: The General Advertiser 887 (5. November 1853), [o. S.].",Englisch,Dublin,1853,,,53.33306,-6.24889
2635,1853-A_Sensitive_Murderer-6-neu,VII.40,1182.0,A Sensitive Murderer,"in: The Kerry Examiner and Munster General Observer 16 (8. November 1853), [o. S.].",Englisch,Tralee,1853,,,52.27042,-9.70264
2636,1853-A_Sensitive_Murderer-7-neu,VII.40,1180.0,A Sensitive Murderer,"in: The King’s County Chronicle and General Provincial Intelligencer 9:422 (9. November 1853), [o. S.].",Englisch,Parsonstown,1853,,,53.09139,-7.91333
2637,1853-Alexander_von_Humboldt_a-1,VII.41,55598.0,Alexander von Humboldt,"in: Die Gegenwart. Eine encyklopädische Darstellung der neuesten Zeitgeschichte für alle Stände, 12 Bände, Leipzig: Brockhaus 1848–1856, Band 8 (1853) , S. 749–762.",Deutsch,Leipzig,1853,"Alexander von Humboldt, Aus meinem Leben. Autobiographische Bekenntnisse, herausgegeben von Kurt-R. Biermann, Leipzig/Jena/Berlin 1987, S. 83–120.",,51.33962,12.37129
2638,1853-Alexander_von_Humboldt_a-2,VII.41,40166.0,"Humboldt (Friedr. Heinr. Alexander, Freiherr von)","in: Allgemeine deutsche Real-Encyklopädie für die gebildeten Stände. Conversations-Lexikon, 10. Auflage, 15 Bände, Leipzig: Brockhaus 1851–1855, Band 8 (1853), S. 126–133.",Deutsch,Leipzig,1853,,,51.33962,12.37129
2639,1853-Alexander_von_Humboldt_a-3,VII.41,22485.0,"[Autobiographischer Abriss; eingeleitet mit: На десятомъ году Гумбольдтъ лишился отца, который […]] [Na desjatom godu Gumbolʹdt lišilsja otca, kotoryj […]]","in: anonym, „Novosti nauk, iskusstv, promyšlennosti i literatury“, in: Otečestvennyja zapiski 103:11:6 (1855), S. 1–26, hier: S. 15–22.",Russisch,Sankt Petersburg,1855,,,59.93863,30.31413
2640,1853-Alexander_von_Humboldt_ueber-1-neu,VII.42,2499.0,Alexander von Humboldt über François Arago,"in: Humorist und Wiener Punch 17:254 (4. November 1853), S. 1014.",Deutsch,Wien,1853,,"Alexander von Humboldt, Kosmos. Entwurf einer physischen Weltbeschreibung, Band 2, Stuttgart und Tübingen: J. G. Cotta 1847, S. 369–370.",48.20849,16.37208
2641,1853-Aus_einer_Zuschrift-1,VII.43,20419.0,Aus einer Zuschrift Al. von Humboldt’s an C. Ritter,"in: C[arl] Ritter, „Die Auffindung der Nordwest-Passage durch Capitain M’Clure“, in: Zeitschrift für Allgemeine Erdkunde 1 (1853), S. 321–327, hier S. 321–322, Karte.",Deutsch,Berlin,1853,"Brief an Carl Ritter, Potsdam, 22.10.1853, in: Alexander von Humboldt, Carl Ritter, Briefwechsel, herausgegeben von Ulrich Päßler, Berlin: Akademie 2010, S. 138–139.",,52.52437,13.41053
2642,1853-Baron_von_Humboldt-1-neu,VII.44,9076.0,Baron von Humboldt,"in: Semi-Weekly Standard 3:94 (12. Oktober 1853), [o. S.].",Englisch,"Raleigh, North Carolina",1853,,,35.7721,-78.63861
2643,1853-Baron_von_Humboldt-2-neu,VII.44,8879.0,Baron von Humboldt,"in: Weekly North-Carolina Standard 19:993 (12. Oktober 1853), [o. S.].",Englisch,"Raleigh, North Carolina",1853,,,35.7721,-78.63861
2644,1853-Baron_von_Humboldt-3-neu,VII.44,7103.0,German savants,"in: The Sydney Morning Herald 35:5224 (17. Februar 1854), S. 5.",Englisch,Sydney,1854,,,-33.86785,151.20732
